title,price,date
"Лось 10 Baikal 145 .223Rem НОВЫЙ ""Люберецкий арсенал""",107 900 руб.,"11 Сентября, в 21:43"
TR3; 223Rem ЛЮБЕРЕЦКИЙ АРСЕНАЛ,96 300 руб.,"11 Сентября, в 21:24"
Вепрь 223,40 000 руб.,"11 Сентября, в 21:16"
"САЙГА МК КАЛ.223REM, 415",59 900 руб.,"11 Сентября, в 21:11"
Лис 121 кал. 223Rem,40 500 руб.,"11 Сентября, в 21:06"
ADAR (АДАР) 2-15,170 000 руб.,"11 Сентября, в 19:14"
CZ 527 Varmint,110 000 руб.,"11 Сентября, в 18:08"
Вепрь 223 Rem,50 000 руб.,"11 Сентября, в 17:00"
Вепрь 223 rem,50 000 руб.,"11 Сентября, в 11:59"
Cz 527 lux к. 223 rem,120 000 руб.,"11 Сентября, в 11:52"
CZ 527 VARMINT LAMINATED,140 000 руб.,"11 Сентября, в 11:50"
Steyr AUG кл.223 Rem,230 000 руб.,"11 Сентября, в 08:54"
Орсис M-15 (AR-15) Armalite,240 000 руб.,"11 Сентября, в 07:54"
Карабин CZ 527,80 000 руб.,"11 Сентября, в 06:41"
Вепрь СОК 97,35 000 руб.,"11 Сентября, в 04:59"
Сайга М3 Легион .223,55 000 руб.,"11 Сентября, в 01:28"
Cz 527 lux,100 000 руб.,"10 Сентября, в 20:44"
Steyr mannlicher AUG Z A2,250 000 руб.,"10 Сентября, в 20:07"
Hekler&Koch SL 8 Хеклер Кох SL 8   кал. 223 REM,300 000 руб.,"10 Сентября, в 19:50"
"Рукоятка взведения затвора двусторонняя ""STR"", для карабинов серии AR, калибра 223, 9 mm и",4 600 руб.,"10 Сентября, в 17:33"
Weatherby mark 5 svm,Договорная,"10 Сентября, в 16:01"
CZ527,100 000 руб.,"10 Сентября, в 15:57"
Blaser R8,910 000 руб.,"10 Сентября, в 15:45"
Remington 700 VTR 223rem,350 000 руб.,"10 Сентября, в 15:17"
Карабин Steyr Mannlicher AUG к.223 (Комиссия),250 000 руб.,"10 Сентября, в 15:05"
CZ-527 Synthetic M1,135 099 руб.,"10 Сентября, в 12:56"
САЙГА-TR-3 ген2 223rem 415мм,92 700 руб.,"10 Сентября, в 12:13"
Сайга SR1,75 000 руб.,"10 Сентября, в 11:41"
CZ 527 Varmint Thumbhole PH в Москве калибр 223 Rem.,200 000 руб.,"10 Сентября, в 11:08"
МР-18МН,25 000 руб.,"10 Сентября, в 10:53"
Карабин Desert Tech MDRX кал. 223 Rem,900 000 руб.,"10 Сентября, в 10:33"
Лось 145 223 рем,170 000 руб.,"10 Сентября, в 10:23"
