title,price,date
AR15 (USA ArmaLite) ORSIS M-15 A4,350 000 руб.,"8 Августа, в 14:15"
"Remington model 700, кал.: 223 Rem.",195 000 руб.,"8 Августа, в 13:04"
Blaser R-93,600 000 руб.,"8 Августа, в 11:33"
Сайга МК 223 RЕМ б/о плс,64 900 руб.,"8 Августа, в 09:32"
Карабин Benelli MR1,180 000 руб.,"7 Августа, в 22:24"
Сайга МК 223 Rem,90 000 руб.,"7 Августа, в 19:15"
STEYR MANNLICHER AUG/SA (AUG-Z),520 000 руб.,"7 Августа, в 15:25"
Вепрь223,50 000 руб.,"7 Августа, в 13:20"
Вепрь 223,45 000 руб.,"7 Августа, в 04:13"
Лось 223,90 000 руб.,"6 Августа, в 20:24"
Norinco cq-a 223,265 000 руб.,"6 Августа, в 15:20"
Сайга МК 223,55 000 руб.,"6 Августа, в 12:37"
CZ 527,175 000 руб.,"6 Августа, в 07:14"
Карабин Anschutz 1770 калибр 223,200 000 руб.,"5 Августа, в 18:52"
STEYR MANNLIHER,220 000 руб.,"5 Августа, в 14:16"
"Лис, к. .223Rem (12004)",36 790 руб.,"4 Августа, в 19:34"
Steyr Aug,350 000 руб.,"4 Августа, в 19:19"
АКСУ-223 кал. 223Rem,68 000 руб.,"4 Августа, в 14:03"
АКСУ-223 кал. 223Rem с боковой планкой,67 990 руб.,"4 Августа, в 14:03"
"Карабин Сайга-МК 223 ЛОТ ""Сварог""",130 000 руб.,"4 Августа, в 13:39"
CZ527 Varmint 223Rem,130 000 руб.,"4 Августа, в 08:59"
"Schmeisser .223 Rem, AR15, Москва",450 000 руб.,"4 Августа, в 06:56"
Сайга 223,18 000 руб.,"3 Августа, в 11:07"
Карабин CZ -527 калибр 223 Rem,110 000 руб.,"3 Августа, в 10:30"
Барс-4-1,65 000 руб.,"31 Июля, в 17:00"
Барс 4.1 223rem,70 000 руб.,"31 Июля, в 16:11"
AR-15 SWC BOLD .223Rem НОВЫЙ! 20″,260 000 руб.,"31 Июля, в 13:39"
Вепрь Супер 223 rem,30 000 руб.,"30 Июля, в 23:31"
Вепрь - Супер 223 рем,50 000 руб.,"30 Июля, в 13:32"
Доп ствол на Blaser R-93 223Rem,150 000 руб.,"30 Июля, в 08:23"
Blaser R-93 Standart 223Rem,320 000 руб.,"30 Июля, в 08:23"
Ремингтон 700,130 000 руб.,"30 Июля, в 05:54"
Лось 145 -223 rem,95 000 руб.,"30 Июля, в 00:57"
"Карабин ВПО-155-18, калибр 223 Rem, L-350",47 530 руб.,"29 Июля, в 19:12"
"ARCAN-15 .223 REM - 14,5"" новинка, Звоните +7495-175-74-75",349 000 руб.,"29 Июля, в 18:40"
Вепрь СОК-97 223 REM 2009 г.в,25 000 руб.,"29 Июля, в 18:24"
Blaser R93 Varmint,1 150 000 руб.,"29 Июля, в 12:34"
Барс 4-1 223 rem,50 000 руб.,"28 Июля, в 13:49"
Blaser R8,950 000 руб.,"28 Июля, в 11:00"
ДТК 223 rem,15 000 руб.,"28 Июля, в 08:12"
AR15 KurbatovArms,170 000 руб.,"28 Июля, в 06:11"
Карабин Tikka T3 Sporter 223Rem,420 000 руб.,"27 Июля, в 17:51"
"Карабин CZ 527 VARMINT THUMBHOLE cal. 223 REM, M15x1",157 000 руб.,"27 Июля, в 13:04"
Ствол Blaser R8 300win/233 rem,220 000 руб.,"27 Июля, в 11:47"
Steyr Mannlicher AUG 223 Rem,200 000 руб.,"26 Июля, в 17:32"
ВЕПРЬ СУПЕР 223,100 000 руб.,"25 Июля, в 10:38"
AUG,300 000 руб.,"24 Июля, в 20:54"
"Ремингтон 223, Сако 22 лр Винчестнр Магнум",Договорная,"24 Июля, в 08:18"
CZ 527 LUX 223 rem,87 000 руб.,"24 Июля, в 04:58"
Steyr AUG,240 000 руб.,"23 Июля, в 22:27"
HECKLER&KOCH-SL6,179 000 руб.,"23 Июля, в 22:05"
AR-15 ВПО 140 (Вепрь 15),390 000 руб.,"23 Июля, в 19:10"
Сайга мк 03,55 000 руб.,"23 Июля, в 17:10"
ВПО 140 - Вепрь 15,375 000 руб.,"22 Июля, в 15:20"
H&K SL 8,350 000 руб.,"22 Июля, в 13:47"
Hekler&Koch SL 6 кал. 223 REM,150 000 руб.,"21 Июля, в 13:47"
МР-18МН 233Rem,13 000 руб.,"21 Июля, в 08:11"
Blaser R93 k.222rem + доп. ствол k.300WM+ оптика Swarovski,1 500 000 руб.,"20 Июля, в 21:21"
Продам Сайга МК 223 rem,60 000 руб.,"20 Июля, в 21:13"
"Карабин ""Вепрь-пионер"" калибр 223Rem СОК-97Р",60 000 руб.,"20 Июля, в 10:31"
ИЖ 18 МН 223 Rem.,Договорная,"20 Июля, в 08:18"
Ствол Blaser R93 223Rem,160 000 руб.,"19 Июля, в 09:49"
Вепрь-223,40 000 руб.,"19 Июля, в 08:49"
AR-15 RA-15 от РОК,210 000 руб.,"18 Июля, в 16:18"
ADC special forces.,260 000 руб.,"17 Июля, в 17:13"
Карабин Steyr Mannlicher AUG,260 000 руб.,"17 Июля, в 15:37"
Карабин Baikal МР-18МН 121 Лис 223Rem 600мм орех,62 000 руб.,"17 Июля, в 07:22"
Norinko cq-a,170 000 руб.,"16 Июля, в 20:11"
Адар 2-15 16.5 223rem.,Договорная,"16 Июля, в 16:20"
Remington 700 SPS Varmint 223 Rem L=660,155 000 руб.,"16 Июля, в 14:20"
Вепрь-пионер 223REM.,45 000 руб.,"16 Июля, в 13:19"
Сайга м3,50 000 руб.,"16 Июля, в 11:40"
Oberland Arms OA-15,600 000 руб.,"15 Июля, в 15:35"
CZ 527,100 000 руб.,"15 Июля, в 14:29"
Орсис 120,130 000 руб.,"15 Июля, в 08:24"
ТОЗ 99,25 000 руб.,"14 Июля, в 18:38"
карабин БАРС 4 -1,70 000 руб.,"14 Июля, в 18:15"
"Tikka T3 Hunter, 223 rem.",300 000 руб.,"14 Июля, в 11:40"
МР-18МН .223rem,18 300 руб.,"14 Июля, в 08:50"
"TR3 Gen.2 5,56x45 (223 Rem) L=415",79 000 руб.,"14 Июля, в 07:59"
CZ 527 Varmint,90 000 руб.,"14 Июля, в 07:31"
ЧЗ 527 фулсток.,200 000 руб.,"13 Июля, в 21:40"
Вепрь 1В,50 000 руб.,"12 Июля, в 18:12"
Лось 145 в 223калибр,120 000 руб.,"12 Июля, в 12:46"
МР-18 МН,45 000 руб.,"12 Июля, в 07:46"
STM-15 от СОЮЗ-ТМ,590 000 руб.,"12 Июля, в 05:50"
V-AR,400 000 руб.,"11 Июля, в 15:49"
Карабин Вепрь СОК-97,115 000 руб.,"11 Июля, в 15:18"
CZ 527,105 000 руб.,"11 Июля, в 07:32"
Вепрь 223,49 000 руб.,"11 Июля, в 05:45"
CZ 527 к.223 Rem Lux,125 000 руб.,"10 Июля, в 08:14"
BENELLI MR1 .223 Rem,260 000 руб.,"9 Июля, в 23:39"
Сайга мк 223,50 000 руб.,"9 Июля, в 17:44"
WEATHERBY VANGUARD 223,145 000 руб.,"9 Июля, в 16:01"
CZ 527,130 000 руб.,"8 Июля, в 17:03"
"МР-18МН кал.5,56х45 (223Rem)",19 000 руб.,"8 Июля, в 10:05"
Сайга мк 223 rem.,55 000 руб.,"8 Июля, в 07:06"
Сайга МК 223rem,90 000 руб.,"7 Июля, в 13:34"
Вепрь-223,250 000 руб.,"7 Июля, в 08:17"
Cz 527,100 000 руб.,"7 Июля, в 06:15"
"145 Лось кал. 223 Rem, 550 мм, твист 9, ствол хром., орех (Новый)",110 900 руб.,"5 Июля, в 19:11"
Savage 11 к.223Rem №G710630,130 000 руб.,"5 Июля, в 16:31"
Тикка т3 лайт,230 000 руб.,"5 Июля, в 12:18"
Titan 3 к. 223Rem,259 000 руб.,"4 Июля, в 13:55"
БАРС 4-1,95 000 руб.,"4 Июля, в 11:02"
Сако 223,350 000 руб.,"3 Июля, в 15:08"
SR 1 AK107,90 000 руб.,"3 Июля, в 14:02"
"Blaser R-8 Standart 223 REM,30-06,9,3-64",2 000 000 руб.,"3 Июля, в 08:42"
"Сайга исп. 04, 223rem экспортная версия",55 000 руб.,"2 Июля, в 19:18"
Вепрь 223,70 000 руб.,"2 Июля, в 18:32"
IZH-18MH,25 500 руб.,"2 Июля, в 07:44"
Барс 4-1 Легион,75 000 руб.,"1 Июля, в 17:43"
Карабин СТМ-15,600 000 руб.,"1 Июля, в 15:20"
Blaser R93,550 000 руб.,"1 Июля, в 10:30"
Вепрь сок-97.223Rem,55 000 руб.,"30 Июня, в 04:40"
Росслер титан3,130 000 руб.,"27 Июня, в 19:12"
CZ 527 .223 rem оптика Nikon 9x,90 000 руб.,"27 Июня, в 14:45"
TITAN-3,100 000 руб.,"26 Июня, в 05:20"
"CZ-527FS,223 rem.",110 000 руб.,"25 Июня, в 19:38"
AUG,300 000 руб.,"25 Июня, в 14:20"
Tikka Т3,230 000 руб.,"25 Июня, в 06:31"
иж 18 мн,30 000 руб.,"25 Июня, в 06:03"
Сайга 223 Rem,25 000 руб.,"23 Июня, в 19:10"
"Сайга-МК, плс.,скл.пр. к.223Rem",71 490 руб.,"23 Июня, в 12:51"
"АКСУ-223, к.223Rem с бок.планкой",70 900 руб.,"23 Июня, в 12:51"
Лось (Baikal 145) к.223Rem,97 410 руб.,"23 Июня, в 12:36"
Сайга мк 223,140 000 руб.,"23 Июня, в 00:04"
Tikka t3 223rem,150 000 руб.,"21 Июня, в 15:07"
"Карабин Sabatti ROVER CUSTOM TACTICAL .223Rem , пластик, без прицела.",180 000 руб.,"21 Июня, в 12:55"
Вепрь-пионер 223 rem,70 000 руб.,"21 Июня, в 00:32"
Blaser r93 223rem/30-06 SPRG/9.3x62,650 000 руб.,"19 Июня, в 12:20"
Remington 700 Police LTR 223 REM,200 000 руб.,"18 Июня, в 23:19"
веперь 223 rem,80 000 руб.,"17 Июня, в 17:36"
