position,title,price,date,link,location
603,Вепрь 308,70 000 руб.,"15 Сентября, в 14:43",https://gunsbroker.ru/hunting/892961_vepr-308.html,"Республика Тыва, Кызыл"
604,Продам franchi horizon 308win,150 000 руб.,"15 Сентября, в 11:28",https://gunsbroker.ru/hunting/801367_prodam-franchi-horizon-308win.html,"Ростовская область, Теплые Ключи"
605,CZ 550 Ctandart,100 000 руб.,"15 Сентября, в 10:54",https://gunsbroker.ru/hunting/892899_cz-550-ctandart.html,"Вологодская область, Вологда"
606,Bespoke Hunter,1 400 000 руб.,"15 Сентября, в 10:25",https://gunsbroker.ru/hunting/879697_bespoke-hunter.html,"Москва, Мытищи"
607,Самозарядный карабин SURESHOT SPEAR 308 415мм,270 000 руб.,"15 Сентября, в 10:02",https://gunsbroker.ru/hunting/802836_samozaryadnyy-karabin-sureshot-spear-308-415mm.html,Москва
608,CZ 550 LUX 308win,120 000 руб.,"15 Сентября, в 09:53",https://gunsbroker.ru/hunting/848331_cz-550-lux-308win.html,"Архангельская область, Архангельск"
609,Карабин ATA ARMS ALR 308Win 610мм ДТК,252 990 руб.,"15 Сентября, в 09:40",https://gunsbroker.ru/hunting/795321_karabin-ata-arms-alr-308win-610mm-dtk.html,"Воронежская область, Воронеж"
610,CZ557,130 000 руб.,"15 Сентября, в 07:05",https://gunsbroker.ru/hunting/891235_cz557.html,"Иркутская область, Иркутск"
611,"Карабин Вепрь Супер 308 к.7,62х51",70 000 руб.,"14 Сентября, в 20:47",https://gunsbroker.ru/hunting/870527_karabin-vepr-super-308-k762h51.html,Санкт-Петербург
612,Карабин ЛОСЬ 7-1,60 000 руб.,"14 Сентября, в 19:15",https://gunsbroker.ru/hunting/892775_karabin-los-7-1.html,"Республика Хакасия, Абакан"
613,"Monza Synthetic Black (ложа черный пластик) 308Win, 560 мм",139 000 руб.,"14 Сентября, в 18:09",https://gunsbroker.ru/hunting/769965_monza-synthetic-black-loja-chernyy-plastik-308win-560-mm.html,"Москва, Раменское"
614,Browning Bar MK3 .308 Reflex Composite CF fluted HC 530 (Новый) +7495-175-75-75,610 000 руб.,"14 Сентября, в 18:08",https://gunsbroker.ru/hunting/833880_browning-bar-mk3-308-reflex-composite-cf-fluted-hc-530-novyy.html,"Москва, Раменское"
615,Американские карабины SAVAGE к.308Win в наличии! +7495-175-75-75,217 900 руб.,"14 Сентября, в 18:07",https://gunsbroker.ru/hunting/810704_amerikanskie-karabiny-savage-k308win-v-nalichii.html,"Москва, Раменское"
616,"SWC TITAN .308 Win (7.62x51)/20"" - 508 мм в наличии",395 000 руб.,"14 Сентября, в 18:07",https://gunsbroker.ru/hunting/786392_swc-titan-308-win-762x5120---508-mm.html,"Москва, Раменское"
617,"Вепрь-308 ""СУПЕР"", к. 7,62х51 2003г.в",59 000 руб.,"14 Сентября, в 14:01",https://gunsbroker.ru/hunting/829530_vepr-308-super-k-762h51-2003gv.html,"Москва, Раменское"
618,Keel Tec RFB 308 24’ хром Новый,700 000 руб.,"14 Сентября, в 12:37",https://gunsbroker.ru/hunting/454265_keel-tec-rfb-308-24-hrom-novyy.html,"Москва, Троицк"
619,"Карабин сайга-308  7,62x51 (308 Win)",80 000 руб.,"14 Сентября, в 11:01",https://gunsbroker.ru/hunting/892645_karabin-sayga-308-762x51-308-win.html,"Омская область, Омск"
620,Сайга-308 исп. 46; 308 Win; 350 мм,80 000 руб.,"14 Сентября, в 10:54",https://gunsbroker.ru/hunting/788738_sayga-308-isp-46-308-win-350-mm.html,"Республика Коми, Воркута"
621,"Карабин MONZA Synthetic Black (ложа черный пластик), 308Win, L=560",85 000 руб.,"14 Сентября, в 10:46",https://gunsbroker.ru/hunting/892642_karabin-monza-synthetic-black-loja-chernyy-plastik-308win-l560.html,"Омская область, Омск"
622,Лось 10,87 000 руб.,"14 Сентября, в 10:43",https://gunsbroker.ru/hunting/853076_los-10.html,"Республика Башкортостан, Уфа"
623,"BLASER R93 три ствола 308, 300RUM, 45 blaser",850 000 руб.,"14 Сентября, в 09:58",https://gunsbroker.ru/hunting/892631_blaser-r93-tri-stvola-308-300rum-45-blaser.html,Москва
624,Вепрь 308,60 000 руб.,"14 Сентября, в 07:30",https://gunsbroker.ru/hunting/866849_vepr-308.html,"Волгоградская область, Чернышковский"
625,Sobatti Rover 870 308Win,89 000 руб.,"14 Сентября, в 02:59",https://gunsbroker.ru/hunting/688082_sobatti-rover-870.html,"Иркутская область, Замзор"
626,Супер вепрь 308,38 000 руб.,"13 Сентября, в 17:10",https://gunsbroker.ru/hunting/872490_super-vepr-308.html,"Волгоградская область, Суровикино."
627,CZ 550 LUX кал. 308,125 000 руб.,"13 Сентября, в 15:02",https://gunsbroker.ru/hunting/892501_cz-550-lux-kal-308.html,"Ставропольский край, с. Безопасное"
628,CZ 557 308WIN,100 000 руб.,"13 Сентября, в 14:07",https://gunsbroker.ru/hunting/884038_cz-557-308win.html,Хабаровский край
629,CZ 557 Synthetic S 308 Win (c мушкой и целиком),200 000 руб.,"13 Сентября, в 07:41",https://gunsbroker.ru/hunting/843476_cz-557-synthetic-s-308-win-c-mushkoy-i-celikom.html,"Новосибирская область, Новосибирск"
630,Карабин Лис 121 калибр 308 win,25 000 руб.,"12 Сентября, в 20:58",https://gunsbroker.ru/hunting/859466_karabin-lis-121-kalibr-308-win.html,"Челябинская область, Миасс"
631,Продам карабин Sauer 101,450 000 руб.,"12 Сентября, в 20:56",https://gunsbroker.ru/hunting/859476_prodam-karabin-sauer-101.html,"Челябинская область, Миасс"
